"documents","keywords"
"https://www.gov.uk/government/publications/analysis-of-results-vtqs-2021/equalities-analysis-of-grades-awarded-for-vtqs-in-spring-and-summer-2021","performance, monitoring, impact, survey"
"https://www.gov.uk/government/publications/barriers-to-elected-office-for-disabled-people/barriers-to-elected-office-for-disabled-people","interview, polling, survey, impact, evaluation"
"https://www.gov.uk/government/publications/barriers-to-elected-office-for-disabled-people/barriers-to-political-representation-disability-and-the-enable-fund","evaluation, survey, interview, impact, monitoring"
"https://www.gov.uk/government/publications/bereavement-support-payment-claimants-summary-statistics-april-2017-to-march-2020/bereavement-support-payment-claimants-summary-statistics-april-2017-to-march-2020","impact, survey"
"https://www.gov.uk/government/publications/bereavement-support-payment-evaluation/bereavement-services-customer-experience-survey-report","survey, evaluation, interview"
"https://www.gov.uk/government/publications/bereavement-support-payment-evaluation/bereavement-support-payment-qualitative-research","evaluation, interview, impact, survey"
"https://www.gov.uk/government/publications/cdei-publishes-commissioned-research-on-algorithmic-transparency-in-the-public-sector/britainthinks-complete-transparency-complete-simplicity","impact, realist, deliberative, interview, focus group, performance, case study, survey"
"https://www.gov.uk/government/publications/centre-for-data-ethics-and-innovation-two-year-review/centre-for-data-ethics-and-innovation-two-year-review","experimental, impact, deliberative, evaluation, polling, survey"
"https://www.gov.uk/government/publications/centre-judgement-research-survey-and-interviews-summer-2020/centre-judgements-teaching-staff-interviews-summer-2020","interview, survey, performance, evaluation, impact, monitoring, systematic review, realist"
"https://www.gov.uk/government/publications/centre-judgement-research-survey-and-interviews-summer-2020/centre-judgements-teaching-staff-survey-summer-2020","survey, interview, performance"
"https://www.gov.uk/government/publications/childrens-social-care-market-study-interim-report/appendices-and-glossary","performance, impact, survey"
"https://www.gov.uk/government/publications/childrens-social-care-market-study-interim-report/interim-report","impact, survey, performance, evaluation, polling, interview"
"https://www.gov.uk/government/publications/covid-19-vaccination-of-children-and-young-people-aged-12-to-17-years-jcvi-statement/jvci-statement-on-covid-19-vaccination-of-children-and-young-people-aged-12-to-17-years-15-july-2021","impact, survey"
"https://www.gov.uk/government/publications/curriculum-research-review-series-languages/curriculum-research-review-series-languages","impact, survey, performance, experimental, simulation, monitoring"
"https://www.gov.uk/government/publications/defra-group-research-and-innovation-interests-2021/defra-group-research-and-innovation-interests","monitoring, impact, evaluation, performance, survey"
"https://www.gov.uk/government/publications/delivery-and-award-of-vocational-and-technical-qualifications-in-2021/delivery-and-award-of-vocational-and-technical-qualifications-in-2021","impact, monitoring, performance, interview, survey"
"https://www.gov.uk/government/publications/education-schooling-and-health/education-schooling-and-health-summary","impact, systematic review, survey"
"https://www.gov.uk/government/publications/electric-vehicle-charging-market-study-final-report/appendices-and-glossary","impact, survey, focus group, monitoring, performance, interview, case study"
"https://www.gov.uk/government/publications/electric-vehicle-charging-market-study-final-report/final-report","impact, monitoring, survey, case study, performance"
"https://www.gov.uk/government/publications/emg-spi-m-and-spi-b-considerations-in-implementing-long-term-baseline-npis-22-april-2021/emg-spi-m-and-spi-b-considerations-in-implementing-long-term-baseline-npis-22-april-2021","impact, monitoring, rct, survey, evaluation, performance, systematic review"
"https://www.gov.uk/government/publications/employer-and-employee-use-of-ict-visas-a-qualitative-study/employer-and-employee-use-of-ict-visas-a-qualitative-study-accessible-version","interview, impact, survey"
"https://www.gov.uk/government/publications/enabling-genome-enhanced-precision-farming-by-building-on-traceability/enabling-genome-enhanced-precision-farming-by-building-on-traceability-may-2021","impact, performance, evaluation, survey"
"https://www.gov.uk/government/publications/estimating-scottish-taxpayer-behaviour-in-response-to-scottish-income-tax-changes-introduced-in-2018-to-2019/estimating-scottish-taxpayer-behaviour-in-response-to-scottish-income-tax-changes-introduced-in-2018-to-2019","propensity score matching, impact, difference in difference, survey, evaluation"
"https://www.gov.uk/government/publications/evaluation-of-centre-assessment-grades-and-grading-gaps-in-summer-2020/an-evaluation-of-centre-assessment-grades-from-summer-2020","evaluation, performance, impact, case study, interview, survey"
"https://www.gov.uk/government/publications/evaluation-of-centre-assessment-grades-and-grading-gaps-in-summer-2020/grading-gaps-in-summer-2020-who-was-affected-by-differences-between-centre-assessment-grades-and-calculated-grades","evaluation, performance, simulation, interview, survey"
"https://www.gov.uk/government/publications/evaluation-of-the-personal-support-package/evaluation-of-the-personal-support-package","evaluation, survey, impact, case study, realist, interview"
"https://www.gov.uk/government/publications/evaluation-of-the-personal-support-package/summary-evaluation-of-the-personal-support-package","evaluation, realist, survey, interview, case study, impact"
"https://www.gov.uk/government/publications/evaluation-of-the-personal-support-package/technical-report-evaluation-of-the-personalised-support-package-first-18-months","evaluation, survey, interview, realist, case study"
"https://www.gov.uk/government/publications/everybody-active-every-day-5-years-on/everybody-active-every-day-5-years-on","impact, monitoring, evaluation, survey"
"https://www.gov.uk/government/publications/evidence-based-decision-making-framework-used-by-the-regulatory-horizons-council/evidence-based-decision-making-framework-used-by-the-regulatory-horizons-council","interview, survey, focus group, evaluation"
"https://www.gov.uk/government/publications/evidence-review-for-adult-social-care-reform/evidence-review-for-adult-social-care-reform-summary-report","impact, performance, evaluation, survey"
"https://www.gov.uk/government/publications/exploring-the-everyday-lives-of-disabled-people/exploring-the-everyday-lives-of-disabled-people","monitoring, interview, ethnography, impact, survey"
"https://www.gov.uk/government/publications/exploring-the-everyday-lives-of-disabled-people/exploring-the-everyday-lives-of-disabled-people-british-sign-language-bsl-videos","survey"
"https://www.gov.uk/government/publications/fan-led-review-of-football-governance-securing-the-games-future/fan-led-review-of-football-governance-securing-the-games-future","survey, impact, monitoring, performance, realist, evaluation, case study"
"https://www.gov.uk/government/publications/final-report-on-progress-to-address-covid-19-health-inequalities/appendix-a-terms-of-reference","impact, survey"
"https://www.gov.uk/government/publications/final-report-on-progress-to-address-covid-19-health-inequalities/appendix-b-progress-implementing-recommendations-and-next-steps-from-first-3-reports","monitoring, impact, survey"
"https://www.gov.uk/government/publications/final-report-on-progress-to-address-covid-19-health-inequalities/appendix-c-ethnic-minority-experiences-of-covid-19","impact, interview, evaluation, survey"
"https://www.gov.uk/government/publications/final-report-on-progress-to-address-covid-19-health-inequalities/appendix-d-further-data-and-evidence","impact, survey, interview, polling"
"https://www.gov.uk/government/publications/final-report-on-progress-to-address-covid-19-health-inequalities/appendix-e-is-ethnicity-a-risk-factor-for-infection-or-mortality-from-covid-19","impact, survey"
"https://www.gov.uk/government/publications/final-report-on-progress-to-address-covid-19-health-inequalities/appendix-f-prioritisation-and-progress-of-data-quality-recommendations","impact, survey, monitoring"
"https://www.gov.uk/government/publications/final-report-on-progress-to-address-covid-19-health-inequalities/data-tables-for-figures-1-to-8b","survey"
"https://www.gov.uk/government/publications/final-report-on-progress-to-address-covid-19-health-inequalities/final-report-on-progress-to-address-covid-19-health-inequalities","impact, monitoring, survey, interview, evaluation"
"https://www.gov.uk/government/publications/final-report-on-progress-to-address-covid-19-health-inequalities/minister-for-equalities-letter-to-the-prime-minister-on-the-final-covid-19-disparities-report","impact, survey"
"https://www.gov.uk/government/publications/final-report-the-economics-of-biodiversity-the-dasgupta-review/the-economics-of-biodiversity-the-dasgupta-review-reactions","impact, monitoring, performance, realist, survey"
"https://www.gov.uk/government/publications/findings-from-the-evaluation-of-the-special-rules-for-terminal-illness-process/findings-from-the-evaluation-of-the-special-rules-for-terminal-illness-process","evaluation, interview, survey, performance, impact"
"https://www.gov.uk/government/publications/gad-client-feedback-april-2020-to-march-2021/gad-client-feedback-april-2020-to-march-2021","impact, performance, survey, interview, realist"
"https://www.gov.uk/government/publications/gcse-as-and-a-level-summer-report-2021/gcse-as-and-a-level-summer-report-2021","performance, monitoring, impact, survey, evaluation"
"https://www.gov.uk/government/publications/hmcts-remote-hearing-evaluation/hmcts-remote-hearing-evaluation","evaluation, survey, interview, monitoring"
"https://www.gov.uk/government/publications/hmrc-evaluation-framework/hmrc-evaluation-framework","evaluation, monitoring, impact, survey"
"https://www.gov.uk/government/publications/how-early-years-multiple-providers-work/how-early-years-multiple-providers-work","interview, impact, monitoring, evaluation, survey"
"https://www.gov.uk/government/publications/how-groups-of-childrens-homes-work/how-groups-of-childrens-homes-work","interview, impact, evaluation, monitoring, survey"
"https://www.gov.uk/government/publications/independent-care-education-and-treatment-reviews/baroness-hollins-letter-to-the-secretary-of-state-for-health-and-social-care-about-the-independent-care-education-and-treatment-reviews","impact, survey"
"https://www.gov.uk/government/publications/independent-care-education-and-treatment-reviews/the-oversight-panels-interim-conclusions-and-recommendations","monitoring, evaluation, impact, survey"
"https://www.gov.uk/government/publications/independent-care-education-and-treatment-reviews/thematic-review-of-the-independent-care-education-and-treatment-reviews","interview, focus group, impact, survey"
"https://www.gov.uk/government/publications/independent-evaluations-of-cyber-discovery-and-cyberfirst-programmes/cyber-discovery-evaluation","evaluation, impact, survey, realist, interview, case study, focus group, performance"
"https://www.gov.uk/government/publications/independent-evaluations-of-cyber-discovery-and-cyberfirst-programmes/cyberfirst-evaluation","evaluation, interview, survey, impact, case study, monitoring, realist"
"https://www.gov.uk/government/publications/independent-family-returns-panel-2019-to-2020/independent-family-returns-panel-annual-report-2019-to-2020-accessible-version","evaluation, impact, realist, interview, survey"
"https://www.gov.uk/government/publications/independent-high-risk-agp-panel-summary-of-recommendations/independent-high-risk-agp-panel-summary-of-recommendations-arising-from-evidence-reviews-to-date","systematic review, experimental, simulation, impact, survey"
"https://www.gov.uk/government/publications/independent-inquiry-on-the-national-lottery-community-fund/independent-inquiry-on-the-national-lottery-community-fund-summary-of-findings-and-recommendations","interview, impact, performance, evaluation, survey"
"https://www.gov.uk/government/publications/independent-review-of-destination-management-organisations-dmos/terms-of-reference","performance, impact, survey"
"https://www.gov.uk/government/publications/innovation-and-knowledge-development-amongst-providers-of-occupational-health/innovation-and-knowledge-development-amongst-providers-of-occupational-health","interview, evaluation, impact, performance, survey"
"https://www.gov.uk/government/publications/innovation-and-knowledge-development-amongst-providers-of-occupational-health/summary-innovation-and-knowledge-development-amongst-providers-of-occupational-health","interview, impact, evaluation, survey"
"https://www.gov.uk/government/publications/international-comparison-of-occupational-health-systems-and-provisions/summary-international-comparison-of-occupational-health-systems-and-provisions","case study, impact, survey"
"https://www.gov.uk/government/publications/jcvi-interim-advice-on-a-potential-coronavirus-covid-19-booster-vaccine-programme-for-winter-2021-to-2022/jcvi-interim-advice-potential-covid-19-booster-vaccine-programme-winter-2021-to-2022","impact, evaluation, survey"
"https://www.gov.uk/government/publications/jcvi-statement-august-2021-covid-19-vaccination-of-children-and-young-people-aged-12-to-17-years/jcvi-statement-on-covid-19-vaccination-of-children-and-young-people-aged-12-to-17-years-4-august-2021","impact, survey"
"https://www.gov.uk/government/publications/jcvi-update-on-advice-for-covid-19-vaccination-of-children-and-young-people/jcvi-statement-on-covid-19-vaccination-of-children-and-young-people-22-december-2021","impact, evaluation, systematic review, survey"
"https://www.gov.uk/government/publications/large-scale-computing-the-case-for-greater-uk-coordination/large-scale-computing-the-case-for-greater-uk-coordination-html-version","performance, experimental, interview, simulation, impact, survey, monitoring, evaluation, rct"
"https://www.gov.uk/government/publications/learning-during-the-pandemic/learning-during-the-pandemic-quantifying-lost-time","impact, survey, performance, realist, evaluation"
"https://www.gov.uk/government/publications/learning-during-the-pandemic/learning-during-the-pandemic-quantifying-lost-time--2","impact, performance, survey, evaluation"
"https://www.gov.uk/government/publications/learning-during-the-pandemic/learning-during-the-pandemic-review-of-international-research","rapid evidence assessment, impact, performance, survey, systematic review, experimental, interview, simulation, monitoring, evaluation"
"https://www.gov.uk/government/publications/learning-during-the-pandemic/learning-during-the-pandemic-review-of-research-from-england","impact, evaluation, monitoring, systematic review, survey, interview, performance, polling, rapid evidence assessment, focus group"
"https://www.gov.uk/government/publications/learning-during-the-pandemic/learning-during-the-pandemic-the-context-for-assessments-in-summer-2021","impact, survey, monitoring, performance, rapid evidence assessment, evaluation"
"https://www.gov.uk/government/publications/liverpool-coronavirus-covid-19-community-testing-pilot-full-evaluation-report-summary/liverpool-coronavirus-covid-19-community-testing-pilot-full-evaluation-report-summary","evaluation, impact, performance, survey"
"https://www.gov.uk/government/publications/long-term-evolution-of-sars-cov-2-26-july-2021/long-term-evolution-of-sars-cov-2-26-july-2021","impact, realist, evaluation, survey"
"https://www.gov.uk/government/publications/mapping-the-species-data-pathway-connecting-species-data-flows-in-england/mapping-the-species-data-pathway-connecting-species-data-flows-in-england-executive-summary-and-technical-summary-and-recommendations","monitoring, impact, cost benefit analysis, interview, survey"
"https://www.gov.uk/government/publications/market-data-insights-july-2021/market-data-insights-july-2021","impact, survey"
"https://www.gov.uk/government/publications/market-data-insights-november-2021/market-data-insights-november-2021","survey"
"https://www.gov.uk/government/publications/minimum-wage-underpayment-in-2021/non-compliance-and-enforcement-of-the-national-minimum-wage-a-report-by-the-low-pay-commission","survey, impact, case study, realist"
"https://www.gov.uk/government/publications/natural-flood-management-programme-initial-findings/using-the-power-of-nature-to-increase-flood-resilience","impact, evaluation, monitoring, survey"
"https://www.gov.uk/government/publications/navigating-the-labyrinth/action-plan-how-to-improve-socio-economic-progression-within-the-civil-service","impact, evaluation, survey, case study, performance, interview"
"https://www.gov.uk/government/publications/navigating-the-labyrinth/navigating-the-labyrinth-socio-economic-background-and-career-progression-within-the-civil-service","survey, interview, impact, performance, experimental"
"https://www.gov.uk/government/publications/nervtag-antiviral-drug-resistance-and-the-use-of-directly-acting-antiviral-drugs-daas-for-covid-19-8-december-2021/nervtag-antiviral-drug-resistance-and-the-use-of-directly-acting-antiviral-drugs-daas-for-covid-19-8-december-2021","monitoring, impact, experimental, survey"
"https://www.gov.uk/government/publications/nervtag-immunity-certification-9-december-2020/nervtag-immunity-certification-9-december-2020","impact, performance, meta analysis, evaluation, survey"
"https://www.gov.uk/government/publications/nervtag-immunity-certification-update-4-february-2021/nervtag-immunity-certification-update-4-february-2021","impact, performance, realist, evaluation, survey"
"https://www.gov.uk/government/publications/nervtag-update-note-on-b117-severity-11-february-2021/nervtag-update-note-on-b117-severity-11-february-2021","evaluation, survey, impact"
"https://www.gov.uk/government/publications/nhs-health-check-programme-review/annex-a-governance","evaluation, impact, realist, survey"
"https://www.gov.uk/government/publications/nhs-health-check-programme-review/annex-b-a-summary-of-analyses-and-evidence-on-the-current-nhs-health-check-programme","evaluation, survey, performance, systematic review, impact"
"https://www.gov.uk/government/publications/nhs-health-check-programme-review/annex-c-data-on-the-distribution-determinants-and-burden-of-non-communicable-diseases-in-england","evaluation, impact, survey"
"https://www.gov.uk/government/publications/nhs-health-check-programme-review/preventing-illness-and-improving-health-for-all-a-review-of-the-nhs-health-check-programme-and-recommendations","evaluation, impact, systematic review, simulation, performance, monitoring, survey, interview"
"https://www.gov.uk/government/publications/nhs-health-check-programme-review/review-of-nhs-health-checks-terms-of-reference","evaluation, survey"
"https://www.gov.uk/government/publications/npis-table-17-september-2020/non-pharmaceutical-interventions-npis-table-21-september-2020","impact, monitoring, survey"
"https://www.gov.uk/government/publications/online-copyright-infringement-tracker-survey-11th-wave/online-copyright-infringement-tracker-survey-11th-wave-executive-summary","survey, impact, interview, experimental"
"https://www.gov.uk/government/publications/options-for-increasing-adherence-to-social-distancing-measures-22-march-2020/options-for-increasing-adherence-to-social-distancing-measures-22-march-2020","evaluation, impact, survey"
"https://www.gov.uk/government/publications/pheemg-aerosol-and-droplet-generation-from-singing-wind-instruments-and-performance-activities-13-august-2020/aerosol-and-droplet-generation-from-singing-wind-instruments-and-performance-activities-13-august-2020","performance, experimental, simulation, impact, survey"
"https://www.gov.uk/government/publications/poly-and-perfluoroalkyl-substances-pfas-sources-pathways-and-environmental-data/poly-and-perfluoroalkyl-substances-pfas-sources-pathways-and-environmental-data-summary","monitoring, impact, evaluation, survey"
"https://www.gov.uk/government/publications/position-statement-regarding-covid-19-tests-evaluated-by-phe/conflict-of-interest-statement-regarding-covid-19-tests-evaluated-by-phe","survey"
"https://www.gov.uk/government/publications/position-statement-regarding-covid-19-tests-evaluated-by-phe/position-statement-on-inactivation-of-sars-cov-2-implications-for-laboratory-testing","impact, evaluation, survey"
"https://www.gov.uk/government/publications/position-statement-regarding-covid-19-tests-evaluated-by-phe/position-statement-regarding-covid-19-tests-evaluated-by-phe","evaluation, survey"
"https://www.gov.uk/government/publications/public-assessment-report-safety-of-macrolide-antibiotics-in-pregnancy-a-review-of-the-epidemiological-evidence/safety-of-macrolide-antibiotics-in-pregnancy-a-review-of-the-epidemiological-evidence","systematic review, propensity score matching, evaluation, experimental, survey"
"https://www.gov.uk/government/publications/reducing-parental-conflict-challenge-fund-learning-from-the-second-phase-of-delivery/annex-1-evaluation-report-links","evaluation, survey"
"https://www.gov.uk/government/publications/reducing-parental-conflict-challenge-fund-learning-from-the-second-phase-of-delivery/reducing-parental-conflict-challenge-fund-learning-from-the-second-phase-of-delivery","impact, interview, evaluation, monitoring, survey"
"https://www.gov.uk/government/publications/research-review-series-geography/research-review-series-geography","performance, impact, evaluation, survey, case study, systematic review, monitoring, experimental"
"https://www.gov.uk/government/publications/research-review-series-history/research-review-series-history","performance, impact, evaluation, survey, simulation, case study"
"https://www.gov.uk/government/publications/research-review-series-mathematics/research-review-series-mathematics","performance, impact, evaluation, realist, experimental, case study, systematic review, survey"
"https://www.gov.uk/government/publications/research-review-series-music/research-review-series-music","impact, performance, realist, experimental, survey"
"https://www.gov.uk/government/publications/research-review-series-religious-education/research-review-series-religious-education","impact, survey, performance, interview, ethnography, monitoring, realist, evaluation, experimental"
"https://www.gov.uk/government/publications/research-review-series-science/research-review-series-science","performance, impact, survey, experimental, systematic review, simulation, evaluation, rapid evidence assessment, case study, monitoring, rct"
"https://www.gov.uk/government/publications/responsiveness-of-commercial-transactions-to-stamp-duty-land-tax/responsiveness-of-commercial-transactions-to-stamp-duty-land-tax","impact, evaluation, survey"
"https://www.gov.uk/government/publications/review-of-drugs-phase-two-report/review-of-drugs-part-two-prevention-treatment-and-recovery","survey, performance, evaluation, impact, monitoring"
"https://www.gov.uk/government/publications/review-of-sexual-abuse-in-schools-and-colleges/review-of-sexual-abuse-in-schools-and-colleges","survey, focus group, impact, realist, monitoring, evaluation, systematic review, case study, rapid evidence assessment, rct"
"https://www.gov.uk/government/publications/review-of-the-use-of-haloperidol-in-elderly-patients-with-acute-delirium/review-of-the-use-of-haloperidol-in-elderly-patients-with-acute-delirium","monitoring, impact, systematic review, survey"
"https://www.gov.uk/government/publications/scoping-a-flexible-framework-for-producing-river-water-temperature-projections/scoping-a-flexible-framework-for-producing-river-water-temperature-projections-summary","impact, evaluation, survey"
"https://www.gov.uk/government/publications/sector-risk-profile-2021/sector-risk-profile-2021","performance, impact, survey, monitoring"
"https://www.gov.uk/government/publications/send-old-issues-new-issues-next-steps/send-old-issues-new-issues-next-steps","impact, interview, survey, evaluation"
"https://www.gov.uk/government/publications/serology-testing-strategy-for-discussion-at-sage-4-june-2020/serology-testing-strategy-for-discussion-at-sage-4-june-2020","realist, survey"
"https://www.gov.uk/government/publications/small-employer-offer-evaluation/small-employer-offer-evaluation","evaluation, interview, impact, survey, systematic review, case study, realist, performance"
"https://www.gov.uk/government/publications/small-employer-offer-evaluation/summary-small-employer-offer-evaluation","evaluation, interview, survey"
"https://www.gov.uk/government/publications/spi-b-behavioural-considerations-of-health-certificates-in-population-mass-testing-26-november-2020/spi-b-behavioural-considerations-of-health-certificates-in-population-mass-testing-26-november-2020","impact, polling, survey"
"https://www.gov.uk/government/publications/spi-b-health-status-certification-in-relation-to-covid-19-behavioural-and-social-considerations-9-december-2020/spi-b-health-status-certification-in-relation-to-covid-19-behavioural-and-social-considerations-9-december-2020","impact, survey, systematic review, polling, focus group, evaluation, monitoring, experimental"
"https://www.gov.uk/government/publications/spi-b-insights-on-celebrations-and-observances-during-covid-19-29-october-2020/spi-b-insights-on-celebrations-and-observances-during-covid-19-29-october-2020","impact, survey, case study, polling, performance, realist, simulation, deliberative, experimental"
"https://www.gov.uk/government/publications/spi-b-sustaining-behaviours-to-reduce-sars-cov-2-transmission-30-april-2021/spi-b-sustaining-behaviours-to-reduce-sars-cov-2-transmission-22-april-2021","monitoring, evaluation, impact, survey, experimental, systematic review, realist, case study"
"https://www.gov.uk/government/publications/spi-m-o-consensus-statement-on-covid-19-8-december-2021/spi-m-o-consensus-statement-on-covid-19-8-december-2021","impact, evaluation, realist, survey"
"https://www.gov.uk/government/publications/ssac-occasional-paper-23-the-use-of-public-funds-in-supporting-the-mobility-needs-of-disabled-people/response-ssac-occasional-paper-23-the-use-of-public-funds-in-supporting-the-mobility-needs-of-disabled-people","survey, impact, experimental"
"https://www.gov.uk/government/publications/ssac-occasional-paper-23-the-use-of-public-funds-in-supporting-the-mobility-needs-of-disabled-people/ssac-occasional-paper-23-the-use-of-public-funds-in-supporting-the-mobility-needs-of-disabled-people","cost benefit analysis, focus group, impact, interview, survey, realist, case study"
"https://www.gov.uk/government/publications/supporting-progression-out-of-low-pay-a-call-to-action/supporting-progression-out-of-low-pay-a-call-to-action","impact, randomised control trial, consultative, survey, rct, interview, performance, realist, case study, evaluation, focus group, cost benefit analysis, experimental"
"https://www.gov.uk/government/publications/supporting-send/supporting-send","case study, impact, interview, monitoring, focus group, realist, survey"
"https://www.gov.uk/government/publications/supporting-send/supporting-send-a-summary-for-children-and-young-people","survey"
"https://www.gov.uk/government/publications/systematic-divergence-between-teacher-and-test-based-assessment/systematic-divergence-between-teacher-and-test-based-assessment-literature-review","performance, impact, survey, evaluation, experimental, systematic review"
"https://www.gov.uk/government/publications/taskforce-on-pension-scheme-voting-implementation-recommendations-to-government-regulators-and-industry/the-report-of-the-taskforce-on-pension-scheme-voting-implementation-recommendations-to-government-regulators-and-industry","monitoring, performance, impact, interview, survey, realist"
"https://www.gov.uk/government/publications/teaching-teachers-during-covid-19/teaching-teachers-during-covid-19","impact, focus group, survey, interview"
"https://www.gov.uk/government/publications/telecommunications-restriction-orders-post-implementation-review/a-post-implementation-review-report-the-telecommunications-restriction-orders-custodial-institutions-england-and-wales-regulations-2016-accessib","impact, case study, survey"
"https://www.gov.uk/government/publications/telecommunications-restriction-orders-post-implementation-review/post-implementation-review-telecommunications-restriction-order-accessible-version","impact, evaluation, survey"
"https://www.gov.uk/government/publications/tfms-consensus-statement-on-mass-testing-27-august-2020/tfms-consensus-statement-on-mass-testing-27-august-2020","impact, performance, survey"
"https://www.gov.uk/government/publications/the-economic-and-social-cost-of-contact-child-sexual-abuse/the-economic-and-social-cost-of-contact-child-sexual-abuse","impact, survey, rapid evidence assessment, evaluation, performance"
"https://www.gov.uk/government/publications/the-future-cohort-study-understanding-universal-credits-future-in-work-claimant-group/the-future-cohort-study-understanding-universal-credits-future-in-work-claimant-group","interview, rct, survey, focus group, impact, evaluation, performance, realist, monitoring"
"https://www.gov.uk/government/publications/the-lived-experience-of-disabled-people-during-the-covid-19-pandemic/the-lived-experience-of-disabled-people-during-the-covid-19-pandemic","impact, interview, survey, realist"
"https://www.gov.uk/government/publications/the-lived-experience-of-disabled-people-during-the-covid-19-pandemic/the-lived-experience-of-disabled-people-during-the-covid-19-pandemic-british-sign-language-bsl-videos","survey"
"https://www.gov.uk/government/publications/the-national-reference-test-in-2021/national-reference-test-2021-contextual-information","performance, impact, survey"
"https://www.gov.uk/government/publications/the-national-reference-test-in-2021/national-reference-test-results-digest-2021","performance, survey, impact, evaluation"
"https://www.gov.uk/government/publications/the-nitrate-leaching-tool/the-nitrate-leaching-tool-summary","simulation, survey"
"https://www.gov.uk/government/publications/the-report-of-the-commission-on-race-and-ethnic-disparities-supporting-research/ethnic-disparities-in-the-major-causes-of-mortality-and-their-risk-factors-by-dr-raghib-ali-et-al","impact, rct, monitoring, survey, systematic review, performance"
"https://www.gov.uk/government/publications/the-report-of-the-commission-on-race-and-ethnic-disparities-supporting-research/ethnic-socio-economic-and-sex-inequalities-in-educational-achievement-at-age-16-by-professor-steve-strand","interview, qca, performance, survey, systematic review"
"https://www.gov.uk/government/publications/the-report-of-the-commission-on-race-and-ethnic-disparities-supporting-research/the-social-mobility-of-ethnic-minorities-in-britain-in-the-last-50-years-1972-2019-by-professor-yaojun-li","survey"
"https://www.gov.uk/government/publications/the-report-of-the-commission-on-race-and-ethnic-disparities-supporting-research/understanding-ethnic-disparities-in-involvement-in-crime-a-limited-scope-rapid-evidence-review-by-professor-clifford-stott-et-al","impact, survey, performance, evaluation, interview, randomised control trial, systematic review, meta analysis, experimental"
"https://www.gov.uk/government/publications/the-report-of-the-commission-on-race-and-ethnic-disparities/conclusion-and-appendices","survey, performance, impact"
"https://www.gov.uk/government/publications/the-report-of-the-commission-on-race-and-ethnic-disparities/crime-and-policing","impact, survey, case study, evaluation, monitoring, performance, rapid evidence assessment"
"https://www.gov.uk/government/publications/the-report-of-the-commission-on-race-and-ethnic-disparities/education-and-training","impact, case study, survey, monitoring, performance, focus group, interview, evaluation, rapid evidence assessment"
"https://www.gov.uk/government/publications/the-report-of-the-commission-on-race-and-ethnic-disparities/employment-fairness-at-work-and-enterprise","case study, survey, impact, realist, interview, performance, polling"
"https://www.gov.uk/government/publications/the-report-of-the-commission-on-race-and-ethnic-disparities/foreword-introduction-and-full-recommendations","impact, survey, performance, evaluation, monitoring, polling, realist"
"https://www.gov.uk/government/publications/the-report-of-the-commission-on-race-and-ethnic-disparities/health","impact, survey, case study, focus group, interview, monitoring, evaluation, systematic review, experimental, performance"
"https://www.gov.uk/government/publications/the-report-of-the-commission-on-race-and-ethnic-disparities/summary-of-recommendations","survey"
"https://www.gov.uk/government/publications/the-roadmap-to-an-effective-ai-assurance-ecosystem/the-roadmap-to-an-effective-ai-assurance-ecosystem","impact, survey, performance"
"https://www.gov.uk/government/publications/the-roadmap-to-an-effective-ai-assurance-ecosystem/the-roadmap-to-an-effective-ai-assurance-ecosystem-extended-version","performance, impact, interview, evaluation, monitoring, realist, survey"
"https://www.gov.uk/government/publications/the-use-of-assistive-technologies-for-assessment/the-use-of-assistive-technologies-for-assessment","interview, focus group, impact, performance, survey, evaluation"
"https://www.gov.uk/government/publications/third-quarterly-report-on-progress-to-address-covid-19-health-inequalities/appendix-a-quality-of-data-on-vaccine-uptake-and-sentiment","survey, interview, impact"
"https://www.gov.uk/government/publications/third-quarterly-report-on-progress-to-address-covid-19-health-inequalities/appendix-b-quarterly-progress-report-on-improvements-to-health-datasets","realist, survey"
"https://www.gov.uk/government/publications/third-quarterly-report-on-progress-to-address-covid-19-health-inequalities/appendix-c-data-tables-for-analysis-of-understanding-society-covid-19-study-waves-6-november-2020-and-7-january-2021","survey"
"https://www.gov.uk/government/publications/third-quarterly-report-on-progress-to-address-covid-19-health-inequalities/minister-for-equalities-letter-to-the-prime-minister-and-health-secretary-on-the-third-covid-19-disparities-report","impact, survey"
"https://www.gov.uk/government/publications/third-quarterly-report-on-progress-to-address-covid-19-health-inequalities/third-quarterly-report-on-progress-to-address-covid-19-health-inequalities","impact, case study, evaluation, survey, polling, interview, focus group"
"https://www.gov.uk/government/publications/uk-disability-survey-research-report-june-2021/uk-disability-survey-research-report-british-sign-language-bsl-videos","survey"
"https://www.gov.uk/government/publications/uk-disability-survey-research-report-june-2021/uk-disability-survey-research-report-data-tables","survey, impact"
"https://www.gov.uk/government/publications/uk-disability-survey-research-report-june-2021/uk-disability-survey-research-report-june-2021","survey, interview, evaluation, impact, realist, focus group"
"https://www.gov.uk/government/publications/uknhcc-scientific-opinion-lutein-zeaxanthin-and-meso-zeaxanthin-and-improved-visual-performance/scientific-opinion-for-the-substantiation-of-a-health-claim-on-a-combination-of-lutein-zeaxanthin-and-meso-zeaxanthin-and-improved-visual-performance","performance, evaluation, rct, impact, survey"
"https://www.gov.uk/government/publications/unlocking-the-value-of-data-exploring-the-role-of-data-intermediaries/unlocking-the-value-of-data-exploring-the-role-of-data-intermediaries","case study, survey, performance, monitoring, impact, polling"
